EmployeeID,Role,Department,StartDate,Manager,OnboardingTask,TaskOwner,DueDate,CompletedDate,Status,BlockedReason,TrainingModule,TrainingStatus,Notes
E2025-0001,Recruiter,HR,2025-02-10,Grace Thompson,Complete Code of Conduct training,Employee,2025-03-02,,Not started,,Code of Conduct,Assigned,Not started
E2025-0001,Recruiter,HR,2025-02-10,Grace Thompson,Request core system access (HRIS/CRM/Jira),Manager,2025-02-25,,Not started,,N/A,Not assigned,Not started
E2025-0001,Recruiter,HR,2025-02-10,Grace Thompson,Meet manager: 30-60-90 plan review,Manager,2025-02-18,,Blocked,Waiting for laptop,N/A,Not assigned,Blocked: Waiting for laptop
E2025-0001,Recruiter,HR,2025-02-10,Grace Thompson,Set up email and Teams account,IT,2025-02-16,,Blocked,Waiting for laptop,N/A,Not assigned,Blocked: Waiting for laptop
E2025-0002,HR Coordinator,HR,2025-07-09,Grace Thompson,Workstation/desk setup,Facilities,2025-07-20,,Not started,,N/A,Not assigned,Not started
E2025-0002,HR Coordinator,HR,2025-07-09,Grace Thompson,Request core system access (HRIS/CRM/Jira),Manager,2025-07-28,,In progress,,N/A,Not assigned,In progress
E2025-0002,HR Coordinator,HR,2025-07-09,Grace Thompson,Set up multi-factor authentication (MFA),IT,2025-07-12,,Blocked,Waiting for laptop,N/A,Not assigned,Blocked: Waiting for laptop
E2025-0002,HR Coordinator,HR,2025-07-09,Grace Thompson,Meet manager: 30-60-90 plan review,Manager,2025-07-17,,Done,,N/A,Not assigned,Completed date missing (data issue)
E2025-0003,Software Engineer II,Engineering,2025-11-10,Ava Patel,Complete Code of Conduct training,Employee,2025-11-23,2025-11-14,Done,,Code of Conduct,Completed,
E2025-0003,Software Engineer II,Engineering,2025-11-10,Ava Patel,Badge & building access setup,Facilities,2025-11-21,2025-11-16,Done,,N/A,Not assigned,
E2025-0003,Software Engineer II,Engineering,2025-11-10,Ava Patel,Complete Data Privacy (GDPR) training,Employee,2025-12-01,,In progress,,Data Privacy (GDPR),Assigned,In progress
E2025-0003,Software Engineer II,Engineering,2025-11-10,Ava Patel,Complete I-9 verification,HR,2025-11-13,,In progress,,N/A,Not assigned,In progress
E2025-0004,Office Coordinator,Operations,2025-01-08,Harper Wilson,Provision laptop and accessories,IT,2025-01-09,2025-01-10,Done,,N/A,Not assigned,Device to be delivered to desk or shipped
E2025-0004,Office Coordinator,Operations,2025-01-08,Harper Wilson,Complete Code of Conduct training,Employee,2025-01-14,2025-01-16,Done,,Code of Conduct,Completed,
E2025-0004,Office Coordinator,Operations,2025-01-08,Harper Wilson,Submit direct deposit details,Employee,2025-01-22,2025-01-09,Done,,N/A,Not assigned,
E2025-0004,Office Coordinator,Operations,2025-01-08,Harper Wilson,Complete Security Awareness training,Employee,2025-01-14,2025-01-11,Done,,Security Awareness,Completed,
E2025-0005,FP&A Analyst,Finance,2025-02-09,Benjamin Lee,Complete Security Awareness training,Employee,2025-02-15,,In progress,,Security Awareness,Assigned,In progress
E2025-0005,FP&A Analyst,Finance,2025-02-09,Benjamin Lee,Enroll in benefits (medical/dental/401k),HR,2025-02-22,,In progress,,N/A,Not assigned,In progress
E2025-0005,FP&A Analyst,Finance,2025-02-09,Benjamin Lee,Meet manager: 30-60-90 plan review,Manager,2025-02-15,,In progress,,N/A,Not assigned,In progress
E2025-0005,FP&A Analyst,Finance,2025-02-09,Benjamin Lee,Badge & building access setup,Facilities,2025-02-20,,Not started,,N/A,Not assigned,Not started
E2025-0006,Data Analyst,Engineering,2025-09-05,Sofia Ramirez,Team introductions / buddy assignment,Manager,2025-09-12,2025-09-08,Done,,N/A,Not assigned,
E2025-0006,Data Analyst,Engineering,2025-09-05,Sofia Ramirez,Request core system access (HRIS/CRM/Jira),Manager,2025-09-13,2025-09-11,Done,,N/A,Not assigned,Include required groups/roles in request
E2025-0006,Data Analyst,Engineering,2025-09-05,Sofia Ramirez,Provision laptop and accessories,IT,2025-09-09,2025-09-11,Done,,N/A,Not assigned,Device to be delivered to desk or shipped
E2025-0006,Data Analyst,Engineering,2025-09-05,Sofia Ramirez,Read employee handbook and confirm,Employee,2025-09-18,,In progress,,Employee Handbook,Assigned,In progress
E2025-0007,Data Analyst,Engineering,2025-09-24,Ava Patel,Set up multi-factor authentication (MFA),IT,2025-09-29,,Blocked,Waiting for laptop,N/A,Not assigned,Blocked: Waiting for laptop
E2025-0007,Data Analyst,Engineering,2025-09-24,Ava Patel,Enroll in benefits (medical/dental/401k),HR,2025-10-05,2025-09-26,Done,,N/A,Not assigned,
