WeekStartDate,Channel,CampaignName,Spend,Impressions,Clicks,Leads,Opportunities,RevenueAttributed,CAC,ROAS,Notes,DataQualityFlag
2025-01-06,Affiliate,Brand - Healthcare (Growth),"$11,171.87","672,929","7,770",1,0,"$53,492","$11,171.87",4.79,"Unusually high CAC this week; check targeting, bidding, and landing page.",OK
2025-01-13,LinkedIn,Content - Healthcare (Growth),"$10,162.83","221,263","2,360",24,6,"$23,169",$423.45,2.28,,OK
2025-01-20,LinkedIn,Partner - Healthcare (Teams),"$4,794.28","112,251",653,3,1,"$9,399","$1,598.09",1.96,"Unusually high CAC this week; check targeting, bidding, and landing page.",OK
2025-01-27,LinkedIn,Prospecting - Mid-Market (Platform),"$7,346.74","223,900","1,089",17,6,"$11,703",$432.16,1.59,,OK
2025-02-17,Google Ads,Demand Gen - Mid-Market (Growth),"$11,796.24","1,103,325","28,465",730,223,"$104,314",$16.16,8.84,,OK
2025-02-10,SEO,Prospecting - Finance (Core),$854.96,"396,289","15,824",113,49,$315,$7.57,0.37,UTM parameters missing on key links; attribution likely undercounted.,Missing UTMs
2025-02-17,Meta,Content - Ecommerce (Pro),"$3,641.51","422,093","7,010",0,0,"$23,251",,6.38,No leads recorded; verify form tracking and CRM sync.,OK
2025-02-24,Affiliate,Launch - Healthcare (Pro),"$3,291.44","222,430","5,742",141,56,"$17,183",$23.34,5.22,,OK
2025-03-03,Meta,Brand - Enterprise (Growth),"$7,820.93","790,721","12,485",121,54,"$81,022",$64.64,10.36,,OK
2025-03-17,Meta,Demand Gen - SMB (Pro),"$8,469.83","1,134,315","20,587",416,141,"$84,560",$20.36,9.98,,OK
2025-03-17,Affiliate,Prospecting - Enterprise (Platform),"$7,398.06","439,603","9,336",148,41,"$54,619",$49.99,7.38,,OK
2025-03-24,LinkedIn,Demand Gen - Enterprise (Core),"$6,679.43","218,916","1,904",31,13,"$9,853",$215.47,1.48,UTM parameters missing on key links; attribution likely undercounted.,Missing UTMs
2025-03-31,Meta,Webinar - Healthcare (Core),"$10,981.16","995,536","21,408",376,78,"$32,681",$29.21,2.98,,OK
2025-04-07,LinkedIn,Retargeting - Enterprise (Teams),"$4,511.30","116,313","1,329",18,7,"$9,292",$250.63,2.06,,OK
2025-04-28,SEO,Partner - Education (Platform),"$2,329.00","1,112,769","23,960",511,206,"$14,912",$4.56,6.40,,OK
2025-04-21,Affiliate,Promo - Enterprise (Pro),"$2,359.98","90,172",885,13,5,"$3,034",$181.54,1.29,,OK
2025-04-28,SEO,Demand Gen - Finance (Core),"$1,970.76","708,846","31,499",206,87,"$13,861",$9.57,7.03,,OK
2025-05-05,Email,Promo - Ecommerce (Teams),$636.06,"128,553","1,904",26,5,"$8,872",$24.46,13.95,,OK
2025-05-12,Affiliate,Webinar - Mid-Market (Growth),"$6,522.53","417,763","2,958",78,35,"$20,541",$83.62,3.15,,OK
2025-06-02,Google Ads,Promo - Education (Core),"$4,016.15","284,353","11,832",197,47,"$23,627",$20.39,5.88,,OK
2025-05-26,SEO,Retargeting - Enterprise (Platform),"$1,148.33","736,732","17,942",300,98,"$15,475",$3.83,13.48,,OK
2025-06-02,SEO,Retargeting - Finance (Teams),"$2,029.26","1,422,329","47,074",913,204,"$275,785",$2.22,135.90,Attribution anomaly detected (duplicate conversions / mis-tagged source). Review tracking.,Suspect attribution
2025-06-09,Affiliate,Brand - SMB (Core),"$6,498.05","276,118","3,997",38,9,"$51,853",$171.00,7.98,,OK
2025-06-16,Meta,Prospecting - Enterprise (Platform),"$9,402.98","1,094,335","20,771",164,67,"$42,927",$57.34,4.57,,OK
2025-06-30,Google Ads,Content - Ecommerce (Growth),"$6,715.25","547,558","16,671",258,85,"$88,304",$26.03,13.15,,OK
2025-06-30,Email,Retargeting - Education (Teams),"$1,258.52","213,207","8,531",513,226,"$16,992",$2.45,13.50,,OK
2025-07-07,Email,Demand Gen - Ecommerce (Growth),"$1,746.36","543,620","16,249",424,184,"$8,721",$4.12,4.99,,OK
2025-07-14,Google Ads,Content - Enterprise (Core),"$14,920.32","755,683","23,470","1,023",386,"$5,348",$14.58,0.36,UTM parameters missing on key links; attribution likely undercounted.,Missing UTMs
2025-07-21,Google Ads,Content - B2B SaaS (Platform),"$12,105.80","907,505","21,844",423,139,"$61,519",$28.62,5.08,,OK
2025-08-11,Meta,Brand - Ecommerce (Teams),"$7,287.61","980,849","7,538",55,17,"$3,285",$132.50,0.45,UTM parameters missing on key links; attribution likely undercounted.,Missing UTMs
2025-08-04,SEO,Demand Gen - Education (Platform),"$1,610.58","641,591","30,491",209,61,"$21,414",$7.71,13.30,,OK
2025-08-11,LinkedIn,Retargeting - SMB (Core),"$16,831.93","340,990","2,602",49,19,"$79,391",$343.51,4.72,,OK
2025-08-18,Meta,Demand Gen - Finance (Growth),"$5,314.85","461,968","8,195",125,26,"$18,718",$42.52,3.52,,OK
2025-08-25,Meta,Newsletter - B2B SaaS (Teams),"$4,004.64","374,791","6,965",62,18,"$34,627",$64.59,8.65,,OK
2025-09-15,LinkedIn,Content - B2B SaaS (Platform),"$11,328.31","413,831","4,512",117,46,"$39,838",$96.82,3.52,,OK
2025-09-08,Email,Prospecting - Enterprise (Platform),"$1,375.65","295,805","14,097",243,109,"$7,649",$5.66,5.56,,OK
2025-09-15,Google Ads,Webinar - Mid-Market (Platform),"$15,263.23","1,621,205","36,559",656,159,"$118,375",$23.27,7.76,,OK
2025-09-22,Email,Content - Finance (Core),"$1,714.41","848,462","13,740",822,253,"$8,281",$2.09,4.83,,OK
2025-09-29,SEO,Partner - SMB (Pro),"$1,918.24","1,120,957","23,017",444,104,"$11,968",$4.32,6.24,,OK
2025-10-06,Affiliate,Partner - Healthcare (Pro),"$3,954.67","226,865","4,228",64,17,"$10,932",$61.79,2.76,,OK
2025-10-13,LinkedIn,Webinar - SMB (Growth),"$9,060.34","300,631","3,297",52,17,"$52,723",$174.24,5.82,,OK
2025-10-20,Meta,Retargeting - Enterprise (Growth),"$13,046.55","1,557,451","15,867",2,1,"$20,869","$6,523.28",1.60,"Unusually high CAC this week; check targeting, bidding, and landing page.",OK
2025-10-27,Email,Newsletter - Finance (Growth),"$1,367.34","375,120","19,039",775,204,"$8,285",$1.76,6.06,,OK
2025-11-03,Google Ads,Promo - Finance (Core),"$11,419.55","588,374","33,088",448,128,"$106,815",$25.49,9.35,,OK
2025-11-17,Meta,Promo - SMB (Growth),"$4,499.10","504,607","10,301",64,23,"$7,818",$70.30,1.74,,OK
2025-11-17,Email,Newsletter - SMB (Teams),$311.46,"60,590","2,395",52,15,$907,$5.99,2.91,UTM parameters missing on key links; attribution likely undercounted.,Missing UTMs
2025-11-24,Email,Prospecting - SMB (Teams),"$1,996.66","368,263","7,731",0,0,"$8,069",,4.04,No leads recorded; verify form tracking and CRM sync.,OK
2025-12-01,Affiliate,Content - Healthcare (Core),"$2,656.36","158,059","1,814",39,13,"$22,051",$68.11,8.30,,OK
2025-12-08,Meta,Partner - Enterprise (Core),"$7,540.24","823,604","13,353",135,34,"$26,579",$55.85,3.52,,OK
2025-12-22,Google Ads,Webinar - Enterprise (Platform),"$8,582.22","466,010","23,026",671,141,"$67,176",$12.79,7.83,,OK
2025-12-22,Email,Retargeting - B2B SaaS (Platform),"$1,895.92","346,818","6,631",324,100,"$14,904",$5.85,7.86,,OK
2025-12-29,Affiliate,Promo - B2B SaaS (Core),$0.00,"91,766","1,106",20,9,"$1,060",$0.00,,No paid spend (organic/owned activity).,OK
2025-01-06,Email,Brand - Finance (Growth),"$1,540.83","246,481","10,096",138,29,"$8,025",$11.17,5.21,,OK
2025-01-13,SEO,Demand Gen - Ecommerce (Platform),"$2,083.64","898,797","33,526",220,55,"$2,505",$9.47,1.20,UTM parameters missing on key links; attribution likely undercounted.,Missing UTMs
2025-02-03,Email,Prospecting - Ecommerce (Platform),$0.00,"59,166","1,092",23,7,"$11,866",$0.00,,No paid spend (organic/owned activity).,OK
2025-01-27,SEO,Retargeting - Healthcare (Teams),$736.27,"307,268","8,657",151,60,"$5,087",$4.88,6.91,,OK
2025-02-03,SEO,Demand Gen - Finance (Teams),"$2,126.83","593,335","10,788",58,18,"$3,136",$36.67,1.47,,OK
2025-02-10,LinkedIn,Webinar - Education (Growth),"$5,375.74","112,338","1,436",0,0,"$5,950",,1.11,No leads recorded; verify form tracking and CRM sync.,OK
2025-02-17,Affiliate,Prospecting - Healthcare (Platform),"$7,656.40","450,792","7,117",156,44,"$49,251",$49.08,6.43,,OK
2025-02-24,Email,Promo - SMB (Growth),"$1,094.01","467,162","8,508",332,141,"$6,380",$3.30,5.83,,OK
2025-03-03,LinkedIn,Webinar - Healthcare (Platform),"$14,680.05","282,731","1,944",41,17,"$41,948",$358.05,2.86,,OK
2025-03-10,Affiliate,Promo - B2B SaaS (Pro),"$4,723.91","221,213","3,732",55,20,"$6,929",$85.89,1.47,,OK
2025-03-17,Google Ads,Demand Gen - Finance (Core),"$15,654.89","1,430,229","47,376","1,306",477,"$31,501",$11.99,2.01,,OK
2025-03-24,LinkedIn,Partner - Education (Growth),"$9,890.64","235,705","3,085",42,15,"$32,765",$235.49,3.31,,OK
