LeadID,Company,Industry,DealStage,DealValue,Probability,Owner,LastContactDate,NextStep,DaysInStage,Notes,ReasonLost,Region,Source
L-2025-0001,NovaWorks AI,Agency,Discovery,"$20,775",25%,Olivia Davis,2025-02-03,Share questionnaire,11,Needs integration with Salesforce and NetSuite.,,APAC,Outbound
L-2025-0002,BrightPath Labs,Ecom,Prospecting,"$57,128",23%,Liam Johnson,2025-04-06,Send one-pager,3,Stakeholder change—new VP reviewing vendors.,,EMEA,Referral
L-2025-0003,Aperture Manufacturing,Agency,Proposal,"$14,089",49%,Ava Chen,2025-02-11,Confirm decision date,34,Trial went well; asked for reference customer call.,,EMEA,Partner
L-2025-0004,Catalyst Partners,Agency,Prospecting,"$237,792",28%,Noah Patel,2025-09-19,LinkedIn outreach,9,Needs integration with Salesforce and NetSuite.,,NA,Partner
L-2025-0005,Hooli Manufacturing,SaaS,Negotiation,"$12,779",63%,Lucas Martin,2025-11-16,Security review,19,Competitor also in evaluation; we need stronger ROI case.,,EMEA,Partner
L-2025-0006,Greenfield Solutions,Other,Proposal,"$78,127",62%,Ethan Brown,2025-04-20,Confirm decision date,32,Champion engaged; needs buy-in from Finance.,,NA,Referral
L-2025-0007,Elevate AI,Agency,Discovery,"$235,743",42%,Mia Rodriguez,2025-04-28,Share questionnaire,30,Looking to replace legacy tool; timeline depends on budget approval.,,EMEA,Inbound
L-2025-0008,Aperture Partners,Ecom,Discovery,"$45,695",21%,Liam Johnson,2025-08-20,Confirm requirements,7,Stakeholder change—new VP reviewing vendors.,,APAC,Partner
L-2025-0009,Aperture Co,Ecom,Proposal,"$228,762",41%,Olivia Davis,2025-02-02,Confirm decision date,35,Competitor also in evaluation; we need stronger ROI case.,,EMEA,Outbound
L-2025-0010,Greenfield Manufacturing,Services,Closed Won,"$21,292",100%,Ava Chen,2025-05-06,Kickoff meeting,50,Stakeholder change—new VP reviewing vendors.,,EMEA,Inbound
L-2025-0011,LexCorp Labs,Agency,Closed Lost,"$23,185",18%,Lucas Martin,2025-09-06,,31,,No budget,EMEA,Partner
L-2025-0012,CloudNine Co,Services,Proposal,"$17,139",62%,Sophia Kim,2025-01-25,Legal review kickoff,37,Needs integration with Salesforce and NetSuite.,,EMEA,Referral
L-2025-0013,Pioneer Group,SaaS,Discovery,"$20,653",36%,Ethan Brown,2025-02-20,Share questionnaire,25,Stakeholder change—new VP reviewing vendors.,,NA,Referral
L-2025-0014,greenfield labs,Other,Negotiation,"$22,698",74%,Mia Rodriguez,2025-10-28,Finalize redlines,15,Champion engaged; needs buy-in from Finance.,,NA,Partner
L-2025-0015,Wayne Holdings,Services,Prospecting,"$18,848",26%,Lucas Martin,2025-02-18,Qualify lead,1,Interested in improving reporting and reducing manual work.,,EMEA,Outbound
L-2025-0016,Globex Partners,Services,Prospecting,"$9,590",25%,Lucas Martin,2025-07-11,LinkedIn outreach,18,Pricing sensitivity—asked for phased rollout options.,,EMEA,Inbound
L-2025-0017,Vertex Industries,SaaS,Prospecting,"$2,177",21%,Ava Chen,2025-11-03,Qualify lead,18,Requested security documentation and SOC2 report.,,NA,Partner
L-2025-0018,Atlas Solutions,Agency,Discovery,"$10,879",29%,Noah Patel,2025-10-16,Map stakeholders,20,Concerned about implementation resources; prefers guided onboarding.,,EMEA,Outbound
L-2025-0019,Bridgepoint Solutions,Ecom,Proposal,"$23,028",60%,Noah Patel,2025-03-06,,7,Stakeholder change—new VP reviewing vendors.,,APAC,Partner
L-2025-0020,Keystone Technologies,Services,Proposal,"$14,197",40%,Liam Johnson,2025-05-03,Align on scope,12,Champion engaged; needs buy-in from Finance.,,NA,Partner
L-2025-0021,Oscorp Holdings,Agency,Closed Won,"$194,123",100%,Ethan Brown,2025-09-09,Implementation planning,70,Needs integration with Salesforce and NetSuite.,,NA,Partner
L-2025-0022,Initech Systems,Ecom,Closed Lost,"$51,175",5%,Olivia Davis,2025-12-08,Document loss reason,44,Needs integration with Salesforce and NetSuite.,Competitor,EMEA,Inbound
L-2025-0023,Nimbus Consulting,Ecom,Discovery,"$58,957",45%,Lucas Martin,2025-12-15,Map stakeholders,28,Competitor also in evaluation; we need stronger ROI case.,,EMEA,Partner
L-2025-0023,Meridian Manufacturing,Other,Proposal,"$6,270",53%,Sophia Kim,2025-03-20,Confirm decision date,39,Trial went well; asked for reference customer call.,,APAC,Outbound
L-2025-0025,Wayne Commerce,Agency,Closed Lost,"$4,285",7%,Sophia Kim,2025-07-09,Document loss reason,25,Trial went well; asked for reference customer call.,No budget,APAC,Inbound
L-2025-0026,Soylent Industries,Other,Prospecting,"$213,982",30%,Sophia Kim,2025-04-06,Send one-pager,20,Trial went well; asked for reference customer call.,,EMEA,Referral
L-2025-0027,Cyberdyne Labs,Other,Prospecting,"$16,927",10%,Ava Chen,2025-06-27,Send one-pager,17,Competitor also in evaluation; we need stronger ROI case.,,NA,Referral
L-2025-0028,Oscorp Partners,Manufacturing,Discovery,"$21,370",42%,Mia Rodriguez,2025-07-26,Share questionnaire,26,Interested in improving reporting and reducing manual work.,,APAC,Referral
L-2025-0029,Hooli Industries,SaaS,Discovery,"$17,561",34%,Ava Chen,2025-06-21,Map stakeholders,8,Competitor also in evaluation; we need stronger ROI case.,,NA,Inbound
L-2025-0030,Wayne Systems,Services,Proposal,"$208,656",59%,Mia Rodriguez,2025-07-09,Review pricing options,29,Champion engaged; needs buy-in from Finance.,,NA,Outbound
L-2025-0031,Aperture Consulting,Manufacturing,Proposal,"$19,241",57%,Sophia Kim,2025-07-16,Legal review kickoff,33,Pricing sensitivity—asked for phased rollout options.,,EMEA,Partner
L-2025-0032,NovaWorks Co,Agency,Closed Won,"$158,709",100%,Liam Johnson,2025-03-30,Invoice / PO,73,,,EMEA,Inbound
L-2025-0033,CloudNine Holdings,Agency,Discovery,"$46,860",36%,Mia Rodriguez,2025-06-07,Book technical deep-dive,28,Competitor also in evaluation; we need stronger ROI case.,,APAC,Outbound
L-2025-0034,Elevate Consulting,SaaS,Discovery,"$75,855",26%,Ethan Brown,2025-03-07,Book technical deep-dive,17,Champion engaged; needs buy-in from Finance.,,NA,Partner
L-2025-0035,Wonka Manufacturing,Agency,Negotiation,"$12,163",61%,Ethan Brown,2025-03-10,Finalize redlines,12,Trial went well; asked for reference customer call.,,APAC,Inbound
L-2025-0036,Fusion Solutions,Services,Discovery,"$190,680",31%,Ava Chen,2025-05-20,Confirm requirements,13,Pricing sensitivity—asked for phased rollout options.,,EMEA,Inbound
L-2025-0037,Globex AI,Agency,Negotiation,"$23,716",70%,Sophia Kim,2025-04-02,Finalize procurement,55,Stakeholder change—new VP reviewing vendors.,,APAC,Inbound
L-2025-0038,PolarPeak Co,Agency,Proposal,"$17,956",60%,Ava Chen,2025-12-02,Legal review kickoff,35,,,NA,Referral
L-2025-0039,Tyrell Holdings,Manufacturing,Discovery,"$11,034",45%,Olivia Davis,2025-01-05,Book technical deep-dive,24,Trial went well; asked for reference customer call.,,APAC,Outbound
L-2025-0040,Hooli Technologies,Ecom,Proposal,"$361,955",54%,Mia Rodriguez,2025-09-15,Review pricing options,40,Needs integration with Salesforce and NetSuite.,,EMEA,Outbound
L-2025-0041,CloudNine Co,Manufacturing,Discovery,"$3,078",43%,Liam Johnson,2025-05-10,Map stakeholders,25,Trial went well; asked for reference customer call.,,APAC,Referral
L-2025-0042,Hooli Systems,Agency,Negotiation,"$18,191",72%,Sophia Kim,2025-09-12,Executive call,35,,,EMEA,Outbound
L-2025-0043,Elevate Solutions,SaaS,Proposal,"$248,838",51%,Olivia Davis,2025-06-23,Send proposal,27,Pricing sensitivity—asked for phased rollout options.,,EMEA,Outbound
L-2025-0044,Oscorp Technologies,Services,Closed Lost,"$2,632",10%,Ava Chen,2025-12-08,Add to nurture,18,Stakeholder change—new VP reviewing vendors.,Competitor,EMEA,Partner
L-2025-0045,Clearwater Holdings,Other,Closed Won,"$76,320",100%,Ethan Brown,2025-02-11,Kickoff meeting,60,Interested in improving reporting and reducing manual work.,,EMEA,Referral
L-2025-0046,Stonebridge Consulting,SaaS,Closed Won,"$20,504",100%,Ethan Brown,2025-12-11,Implementation planning,55,Requested security documentation and SOC2 report.,,EMEA,Referral
L-2025-0047,BluePeak Manufacturing,Other,Prospecting,"$21,799",16%,Noah Patel,2025-06-15,Intro email,17,Competitor also in evaluation; we need stronger ROI case.,,EMEA,Referral
